Country,2015,2016,2017,2018,2019,2020,2021,2022,2023
South Sudan,85.3,81.3,78.2,,,,,
Venezuela,84.1,84.4,85.3,82.6,83.2,84.5,84.2,83.6,82.6
Guatemala,79.3,63.5,59.6,59.3,55.9,57.8,58.2,58.3,59.7
South Africa,78.4,78.4,75.7,75.7,76.8,77.5,77.1,76.1,75.4
Afghanistan,77.3,,73.9,,76.6,76.2,76.4,77.0,78.6
Guyana,76.9,,,,67.7,68.7,68.9,69.0
Nigeria,76.6,74.1,70.9,63.1,64.4,63.8,63.9,63.8,65.5
Trinidad And Tobago,75.3,72.6,70.2,72.2,74.0,73.2,70.9,71.4,70.6
Honduras,74.9,76.4,78.3,78.9,76.8,76.1,74.8,74.2,74.2
Bahamas,72.9,,,,62.9,62.3,62.5,
Kenya,72.6,69.5,65.0,59.8,54.8,61.7,61.4,56.2,57.0
Jamaica,71.9,65.5,67.5,66.9,65.3,66.0,67.5,67.8,67.8
Mongolia,70.3,57.8,67.6,62.6,59.8,58.0,55.6,53.7,53.9
Yemen,70.1,,,,,,,,
Malaysia,70.0,68.6,64.8,63.1,60.8,58.8,57.9,55.7,52.9
Papua New Guinea,69.9,77.6,82.4,80.0,79.9,81.9,80.2,81.2,79.9
Libya,69.6,57.8,54.5,56.7,59.2,62.2,62.0,60.3,60.2
El Salvador,69.4,72.0,71.6,69.7,68.1,68.0,68.8,68.6,64.4
Brazil,69.0,71.2,70.6,70.6,70.2,68.9,67.8,67.0,66.6
Maldives,68.8,45.0,47.0,51.7,53.3,53.2,56.0,54.7,54.5
Angola,68.0,,65.5,,65.0,66.6,66.4,65.4
Dominican Republic,67.7,63.2,62.6,61.5,61.4,61.2,60.1,60.9,61.2
Puerto Rico,67.1,65.9,69.2,64.9,65.5,65.6,63.4,62.2,62.0
Bolivia,65.6,56.6,59.5,52.9,53.3,52.9,55.4,58.3,60.8
Somalia,65.6,55.7,58.8,,60.1,58.5,56.0,58.0,
Kyrgyzstan,65.1,,,,,,55.4,56.6,54.6
Cameroon,64.8,,,,,,,66.6,64.8
Bangladesh,64.2,68.6,67.2,68.5,65.8,63.9,64.2,63.4,62.6
Costa Rica,63.0,57.6,55.9,53.9,56.1,56.3,55.3,53.9,53.8
Argentina,62.4,63.3,62.6,61.8,62.6,61.8,63.3,64.1,64.3
Haiti,62.3,,,,,,,,
Belize,62.3,,,,,,51.3,51.5,53.1
Zimbabwe,62.2,60.0,53.5,54.6,51.8,57.5,58.9,59.7,60.5
