Country,Last,Previous,Reference,Unit,Tax
Afghanistan,20,20,Dec/25,%,/*tax_value*/
Albania,23,23,Dec/25,%,/*tax_value*/
Algeria,35,35,Dec/25,%,/*tax_value*/
Angola,25,25,Dec/25,%,/*tax_value*/
Argentina,35,35,Dec/25,%,/*tax_value*/
Armenia,20,20,Dec/25,%,/*tax_value*/
Aruba,52,52,Dec/25,%,/*tax_value*/
Australia,45,45,Dec/25,%,/*tax_value*/
Austria,55,55,Dec/25,%,/*tax_value*/
Azerbaijan,25,25,Dec/25,%,/*tax_value*/
Bahamas,0,0,Dec/25,%,/*tax_value*/
Bahrain,0,0,Dec/25,%,/*tax_value*/
Bangladesh,25,25,Dec/24,%,/*tax_value*/
Barbados,28.5,28.5,Dec/25,%,/*tax_value*/
Belarus,13,13,Dec/25,%,/*tax_value*/
Belgium,50,50,Dec/25,%,/*tax_value*/
Bermuda,0,0,Dec/25,%,/*tax_value*/
Bolivia,13,13,Dec/25,%,/*tax_value*/
Bosnia and Herzegovina,10,10,Dec/25,%,/*tax_value*/
Botswana,25,25,Dec/25,%,/*tax_value*/
Brazil,27.5,27.5,Dec/25,%,/*tax_value*/
Brunei,0,0,Dec/25,%,/*tax_value*/
Bulgaria,10,10,Dec/25,%,/*tax_value*/
Cambodia,20,20,Dec/25,%,/*tax_value*/
Cameroon,38.5,38.5,Dec/25,%,/*tax_value*/
Canada,33,33,Dec/25,%,/*tax_value*/
Cayman Islands,0,0,Dec/25,%,/*tax_value*/
Chad,30,30,Dec/25,%,/*tax_value*/
Chile,40,40,Dec/25,%,/*tax_value*/
China,45,45,Dec/25,%,/*tax_value*/
Colombia,39,39,Dec/25,%,/*tax_value*/
Congo,40,40,Dec/25,%,/*tax_value*/
Costa Rica,25,25,Dec/25,%,/*tax_value*/
Croatia,30,30,Dec/25,%,/*tax_value*/
Cyprus,35,35,Dec/25,%,/*tax_value*/
Czech Republic,23,23,Dec/25,%,/*tax_value*/
Denmark,55.9,55.9,Dec/25,%,/*tax_value*/
Dominican Republic,25,25,Dec/25,%,/*tax_value*/
Ecuador,37,37,Dec/25,%,/*tax_value*/
Egypt,27.5,27.5,Dec/25,%,/*tax_value*/
El Salvador,30,30,Dec/25,%,/*tax_value*/
Equatorial Guinea,35,35,Dec/25,%,/*tax_value*/
Estonia,20,20,Dec/25,%,/*tax_value*/
Ethiopia,35,35,Dec/25,%,/*tax_value*/
Euro area,41.8,42.7,Dec/23,%,/*tax_value*/
European Union,37.9,38.7,Dec/23,%,/*tax_value*/
Fiji,20,20,Dec/25,%,/*tax_value*/
Finland,57.65,57.3,Dec/25,%,/*tax_value*/
France,45,45,Dec/25,%,/*tax_value*/
Gabon,35,35,Dec/25,%,/*tax_value*/
Gambia,25,30,Dec/25,%,/*tax_value*/
Georgia,20,20,Dec/25,%,/*tax_value*/
Germany,45,45,Dec/25,%,/*tax_value*/
Ghana,35,35,Dec/25,%,/*tax_value*/
Greece,44,44,Dec/25,%,/*tax_value*/
Guatemala,7,7,Dec/25,%,/*tax_value*/
Guinea,20,20,Dec/25,%,/*tax_value*/
Honduras,25,25,Dec/25,%,/*tax_value*/
Hong Kong,15,15,Dec/25,%,/*tax_value*/
Hungary,15,15,Dec/25,%,/*tax_value*/
Iceland,46.28,46.28,Dec/25,%,/*tax_value*/
India,39,42.74,Dec/25,%,/*tax_value*/
Indonesia,35,35,Dec/25,%,/*tax_value*/
Iraq,15,15,Dec/25,%,/*tax_value*/
Ireland,40,40,Dec/25,%,/*tax_value*/
Isle of Man,22,22,Dec/25,%,/*tax_value*/
Israel,50,50,Dec/25,%,/*tax_value*/
Italy,43,43,Dec/25,%,/*tax_value*/
Jamaica,30,30,Dec/25,%,/*tax_value*/
Japan,55.95,55.95,Dec/25,%,/*tax_value*/
Jordan,30,30,Dec/25,%,/*tax_value*/
Kazakhstan,10,10,Dec/25,%,/*tax_value*/
Kenya,35,35,Dec/25,%,/*tax_value*/
Kosovo,10,10,Dec/25,%,/*tax_value*/
Kuwait,0,0,Dec/25,%,/*tax_value*/
Laos,25,25,Dec/25,%,/*tax_value*/
Latvia,33,31,Dec/25,%,/*tax_value*/
Lebanon,25,25,Dec/25,%,/*tax_value*/
Lesotho,30,30,Dec/25,%,/*tax_value*/
Libya,10,10,Dec/25,%,/*tax_value*/
Liechtenstein,22.4,22.4,Dec/25,%,/*tax_value*/
Lithuania,32,32,Dec/25,%,/*tax_value*/
Luxembourg,42,42,Dec/24,%,/*tax_value*/
Macau,12,12,Dec/25,%,/*tax_value*/
Macedonia,10,10,Dec/25,%,/*tax_value*/
Madagascar,20,20,Dec/25,%,/*tax_value*/
Malawi,35,35,Dec/25,%,/*tax_value*/
