Country,Last,Previous,Reference,Unit,Temperature
Burkina Faso,29.96,29.38,Dec/23,celsius,/*temperature_value*/
Mali,29.72,29.23,Dec/23,celsius,/*temperature_value*/
Senegal,29.69,28.97,Dec/23,celsius,/*temperature_value*/
Aruba,29.39,28.81,Dec/23,celsius,/*temperature_value*/
Mauritania,29.37,28.91,Dec/23,celsius,/*temperature_value*/
Gambia,29.16,28.45,Dec/23,celsius,/*temperature_value*/
Qatar,29.07,28.95,Dec/23,celsius,/*temperature_value*/
United Arab Emirates,28.95,28.67,Dec/23,celsius,/*temperature_value*/
Bahrain,28.88,28.8,Dec/23,celsius,/*temperature_value*/
Guinea Bissau,28.7,28.03,Dec/23,celsius,/*temperature_value*/
Cayman Islands,28.64,28.21,Dec/23,celsius,/*temperature_value*/
Benin,28.61,28.07,Dec/23,celsius,/*temperature_value*/
Djibouti,28.6,28.49,Dec/23,celsius,/*temperature_value*/
Niger,28.34,27.61,Dec/23,celsius,/*temperature_value*/
Marshall Islands,28.29,27.95,Dec/23,celsius,/*temperature_value*/
Ghana,28.26,27.8,Dec/23,celsius,/*temperature_value*/
Oman,28.23,27.85,Dec/23,celsius,/*temperature_value*/
Maldives,28.18,28.06,Dec/23,celsius,/*temperature_value*/
St Kitts and Nevis,28.14,27.47,Dec/23,celsius,/*temperature_value*/
Singapore,28.1,27.8,Dec/23,celsius,/*temperature_value*/
Cambodia,27.95,27.19,Dec/23,celsius,/*temperature_value*/
Togo,27.92,27.46,Dec/23,celsius,/*temperature_value*/
Antigua and Barbuda,27.83,27.19,Dec/23,celsius,/*temperature_value*/
Sudan,27.8,27.58,Dec/23,celsius,/*temperature_value*/
Kiribati,27.78,27.76,Dec/23,celsius,/*temperature_value*/
Nigeria,27.73,27.12,Dec/23,celsius,/*temperature_value*/
Samoa,27.72,27.53,Dec/23,celsius,/*temperature_value*/
Micronesia,27.68,27.45,Dec/23,celsius,/*temperature_value*/
Guam,27.67,27.57,Dec/23,celsius,/*temperature_value*/
Seychelles,27.58,27.09,Dec/23,celsius,/*temperature_value*/
Virgin Islands,27.54,26.98,Dec/23,celsius,/*temperature_value*/
Kuwait,27.52,27.49,Dec/23,celsius,/*temperature_value*/
Thailand,27.51,26.73,Dec/23,celsius,/*temperature_value*/
American Samoa,27.5,27.31,Dec/23,celsius,/*temperature_value*/
Chad,27.49,27.21,Dec/23,celsius,/*temperature_value*/
St Lucia,27.46,26.83,Dec/23,celsius,/*temperature_value*/
Sri Lanka,27.41,27.19,Dec/23,celsius,/*temperature_value*/
Northern Mariana Islands,27.35,27.33,Dec/23,celsius,/*temperature_value*/
Dominica,27.32,26.65,Dec/23,celsius,/*temperature_value*/
Ivory Coast,27.3,26.85,Dec/23,celsius,/*temperature_value*/
Palau,27.26,27.09,Dec/23,celsius,/*temperature_value*/
Sierra Leone,27.22,26.51,Dec/23,celsius,/*temperature_value*/
Trinidad and Tobago,27.15,26.48,Dec/23,celsius,/*temperature_value*/
Suriname,27.13,26.57,Dec/23,celsius,/*temperature_value*/
Somalia,27.1,27.04,Dec/23,celsius,/*temperature_value*/
Barbados,26.93,26.31,Dec/23,celsius,/*temperature_value*/
Philippines,26.91,26.61,Dec/23,celsius,/*temperature_value*/
Eritrea,26.88,26.33,Dec/23,celsius,/*temperature_value*/
Grenada,26.78,26.14,Dec/23,celsius,/*temperature_value*/
Malaysia,26.77,26.35,Dec/23,celsius,/*temperature_value*/
Cuba,26.7,26.24,Dec/23,celsius,/*temperature_value*/
Guyana,26.67,26.15,Dec/23,celsius,/*temperature_value*/
Jamaica,26.65,26.1,Dec/23,celsius,/*temperature_value*/
St Vincent and the Grenadines,26.64,25.98,Dec/23,celsius,/*temperature_value*/
Guinea,26.6,25.98,Dec/23,celsius,/*temperature_value*/
Bahamas,26.56,26.11,Dec/23,celsius,/*temperature_value*/
Saudi Arabia,26.52,26.32,Dec/23,celsius,/*temperature_value*/
Nicaragua,26.51,25.83,Dec/23,celsius,/*temperature_value*/
Belize,26.42,25.74,Dec/23,celsius,/*temperature_value*/
Indonesia,26.17,25.96,Dec/23,celsius,/*temperature_value*/
Panama,26.05,25.28,Dec/23,celsius,/*temperature_value*/
Venezuela,26.01,25.52,Dec/23,celsius,/*temperature_value*/
Bangladesh,26,25.76,Dec/23,celsius,/*temperature_value*/
Yemen,25.93,25.49,Dec/23,celsius,/*temperature_value*/
Brazil,25.92,25.48,Dec/23,celsius,/*temperature_value*/
Solomon Islands,25.89,25.89,Dec/23,celsius,/*temperature_value*/
Liberia,25.87,25.5,Dec/23,celsius,/*temperature_value*/
El Salvador,25.85,25.22,Dec/23,celsius,/*temperature_value*/
Haiti,25.59,25.02,Dec/23,celsius,/*temperature_value*/
Kenya,25.54,25.17,Dec/23,celsius,/*temperature_value*/
Puerto Rico,25.52,24.97,Dec/23,celsius,/*temperature_value*/
Mayotte,25.5,24.93,Dec/23,celsius,/*temperature_value*/
Vietnam,25.46,24.71,Dec/23,celsius,/*temperature_value*/
Costa Rica,25.42,24.59,Dec/23,celsius,/*temperature_value*/
Central African Republic,25.39,25.56,Dec/23,celsius,/*temperature_value*/
Honduras,25.39,24.76,Dec/23,celsius,/*temperature_value*/
Colombia,25.32,24.7,Dec/23,celsius,/*temperature_value*/
Dominican Republic,25.23,24.59,Dec/23,celsius,/*temperature_value*/
Fiji,25.2,24.97,Dec/23,celsius,/*temperature_value*/
Gabon,25.14,25.44,Dec/23,celsius,/*temperature_value*/
Tonga,25.12,25.09,Dec/23,celsius,/*temperature_value*/
Paraguay,25.06,23.82,Dec/23,celsius,/*temperature_value*/
India,25.02,25.18,Dec/23,celsius,/*temperature_value*/
Cameroon,24.99,24.96,Dec/23,celsius,/*temperature_value*/
Laos,24.91,24.03,Dec/23,celsius,/*temperature_value*/
Mozambique,24.79,24.43,Dec/23,celsius,/*temperature_value*/
Papua New Guinea,24.77,24.78,Dec/23,celsius,/*temperature_value*/
Republic of the Congo,24.77,25.08,Dec/23,celsius,/*temperature_value*/
French Polynesia,24.71,24.05,Dec/23,celsius,/*temperature_value*/
Equatorial Guinea,24.7,24.91,Dec/23,celsius,/*temperature_value*/
Sao Tome and Principe,24.66,24.68,Dec/23,celsius,/*temperature_value*/
Myanmar,24.44,23.87,Dec/23,celsius,/*temperature_value*/
Vanuatu,24.39,24.72,Dec/23,celsius,/*temperature_value*/
Comoros,24.38,23.8,Dec/23,celsius,/*temperature_value*/
Guatemala,24.35,23.73,Dec/23,celsius,/*temperature_value*/
Congo,24.33,24.38,Dec/23,celsius,/*temperature_value*/
Hong Kong,24.09,23.61,Dec/23,celsius,/*temperature_value*/
Mauritius,24.07,23.26,Dec/23,celsius,/*temperature_value*/
Iraq,24.05,23.84,Dec/23,celsius,/*temperature_value*/
Algeria,23.96,24.05,Dec/23,celsius,/*temperature_value*/
Egypt,23.95,23.2,Dec/23,celsius,/*temperature_value*/
Macau,23.85,23.34,Dec/23,celsius,/*temperature_value*/
Ethiopia,23.75,23.4,Dec/23,celsius,/*temperature_value*/
Uganda,23.53,23.13,Dec/23,celsius,/*temperature_value*/
Tanzania,23.22,22.86,Dec/23,celsius,/*temperature_value*/
Cape Verde,23.08,22.68,Dec/23,celsius,/*temperature_value*/
Madagascar,23.08,22.69,Dec/23,celsius,/*temperature_value*/
Malawi,22.92,22.53,Dec/23,celsius,/*temperature_value*/
Libya,22.91,22.79,Dec/23,celsius,/*temperature_value*/
New Caledonia,22.69,23.33,Dec/23,celsius,/*temperature_value*/
Ecuador,22.33,21.08,Dec/23,celsius,/*temperature_value*/
Australia,22.32,21.93,Dec/23,celsius,/*temperature_value*/
Mexico,22.22,21.82,Dec/23,celsius,/*temperature_value*/
Botswana,22.16,21.97,Dec/23,celsius,/*temperature_value*/
Zimbabwe,22.07,21.83,Dec/23,celsius,/*temperature_value*/
Zambia,22.04,21.86,Dec/23,celsius,/*temperature_value*/
Bolivia,21.99,20.73,Dec/23,celsius,/*temperature_value*/
Pakistan,21.91,22.23,Dec/23,celsius,/*temperature_value*/
Angola,21.51,21.62,Dec/23,celsius,/*temperature_value*/
Tunisia,21.21,21.44,Dec/23,celsius,/*temperature_value*/
Swaziland,21.06,20.9,Dec/23,celsius,/*temperature_value*/
Israel,20.96,20.11,Dec/23,celsius,/*temperature_value*/
Peru,20.95,19.57,Dec/23,celsius,/*temperature_value*/
Taiwan,20.91,20.73,Dec/23,celsius,/*temperature_value*/
Burundi,20.83,20.45,Dec/23,celsius,/*temperature_value*/
Namibia,20.52,20.2,Dec/23,celsius,/*temperature_value*/
Jordan,20.4,19.63,Dec/23,celsius,/*temperature_value*/
Palestine,20.4,19.55,Dec/23,celsius,/*temperature_value*/
Malta,20.29,20.34,Dec/23,celsius,/*temperature_value*/
Cyprus,19.89,19.22,Dec/23,celsius,/*temperature_value*/
Syria,19.75,19.17,Dec/23,celsius,/*temperature_value*/
Iran,19.62,19.32,Dec/23,celsius,/*temperature_value*/
Rwanda,19.5,19.17,Dec/23,celsius,/*temperature_value*/
Morocco,19.04,19.17,Dec/23,celsius,/*temperature_value*/
Uruguay,18.92,17.83,Dec/23,celsius,/*temperature_value*/
South Africa,18.58,18.41,Dec/23,celsius,/*temperature_value*/
Turkmenistan,18.3,17.62,Dec/23,celsius,/*temperature_value*/
Portugal,17.05,17.03,Dec/23,celsius,/*temperature_value*/
Lebanon,16.28,15.56,Dec/23,celsius,/*temperature_value*/
Argentina,15.95,15.12,Dec/23,celsius,/*temperature_value*/
Greece,15.71,15.06,Dec/23,celsius,/*temperature_value*/
Uzbekistan,15.63,14.85,Dec/23,celsius,/*temperature_value*/
